,HS,product_name,green_world_average,blue_world_average,grey_world_average
379,220421,"Grape wines nes,incl fort&grape must,unfermntd by add alc in ctnr</=2l",494.0,112.0,101.0
380,220429,"Grape wines nes,incl fort&grape must,unfermntd by add alc,in ctnr > 2l",494.0,112.0,101.0
381,220430,"Grape must nes, unfermented, other than that of heading No 20.09",494.0,112.0,101.0
382,220510,Vermouth&oth grape wines flav w plants o arom subst in ctnr </= 2 l,607.0,138.0,124.0
383,220590,Vermouth&oth grape wines flav with plants or arom subst in ctnr > 2 l,607.0,138.0,124.0
384,220600,"Fermented beverages nes (for example, cider, perry, mead, etc)",607.0,138.0,124.0
385,220820,Spirits obtained by distilling grape wine or grape marc,607.0,138.0,124.0
386,080711,Watermelons,150.0,25.0,63.0
387,080719,Other melons (inc.cantaloupes),125.0,29.0,67.0
388,080420,"Figs, fresh or dried",1504.0,1544.0,227.0
389,080450,"Guavas, mangoes and mangosteens, fresh or dried",1314.0,362.0,124.0
390,080440,"Avocados, fresh or dried",849.0,237.0,87.0
391,080430,"Pineapples, fresh or dried",215.0,9.0,31.0
392,200940,"Pineapple juice,unfermented&not spiritd,whether or not sugard or sweet",1075.0,45.0,153.0
393,080410,"Dates, fresh or dried",930.0,1250.0,98.0
394,081090ad,Cashewapple,3638.0,34.0,121.0
395,081050,Kiwi fruit,307.0,168.0,38.0
396,080720,"Papaws (papayas), fresh",399.0,40.0,21.0
397,080450_b,"Fruit, tropical fresh nes",1455.0,200.0,172.0
398,081090,"Fruits, fresh nes",1199.0,201.0,112.0
399,081340,"Fruits, dried nes",4794.0,806.0,448.0
400,090111,"Coffee, not roasted, not decaffeinated",15249.0,116.0,532.0
